feedback,seller_id,order_id,store_id
"Nunca más le compro a Fravega. Una vergüenza, no te hacen factura A y ML lo permite. Me tuve que ir hasta la sucursal y tampoco quisieron hacerme la factura.",,1841306757,12846004
Me decian una cosa por mensaje y al momento de retirar el producto nadie lo queria entregar .. juegan con la gente,,1777477152,12846005
PSIMO SISTEMA PARA  AUTORIZAR LA ENTREGA EN SUCURSALRECIBI EL LAVARROPAS LUEGO DE UN RECLAMO EN MERCADO LIBREAL LAVARROPAS LE FALTA UN DISPENSER,143125485,1820182318,12846006
"La atencion en la expedicion de la sucursal Moron,de Fravega es muy desagradable.",,1845695222,12846006
Una vergüenza fravega la entrega fue cuando se les antijo,,1819818353,12846009
"La parte online y telefónica excelente, el retiro en sucursal un *, mal hablados y soberbios",143125485,1831721336,12846012
MAlisimo. Sin explicacion y sin aviso me devolvieron el dinero de la compra y nunca recibi el producto. Totalmente malisimo lo que hicieron,,1795913681,12846013
Enttego un ptofucto vencido,,1807407537,12846013
"La peor experiencia en Mercado libre, por lejos, y eso que supuestamente Frávega es una empresaria, jamás pensé que vendieran equipos ROTOS. Plata tirada.",,1793471363,12846017
Me pidieron todos los datos de la empresa y lo facturaron como consumidor final. Y me exigen que envie todos los papeles por correo para facturarme A.,,1815992890,12846017
El producto estaba publicado a un precio y subrepticiamente me cancelaron la compra. Como única explicación fue la pretendida falta de disponibilidad.,,1803787151,12846018
"No entregaron el producto en los plazos planteados por MercadoLibre, no dieron una fecha concreta para el retiro, solo tuve que esperar que me notifiquen el día",,1784941418,12846018
"Malísima la atención, hice la compra dos veces y me devolvieron el dinero en ambas, nunca me dieron una explicación. Tuve que comprarlo en otro lado",,1806311438,12846018
Muy mala atencion de FRAVEGA,,1797842007,12846018
No lo recomiendo. No me entregaron la compra. Tuve que salir a resolver por otro lado. Muy desorganizados.,,1828939508,12846019
Me tuvieron a las vueltas,,1787887254,12846020
Pedí factura A y me dieron 10000 vueltas para no hacerla y no la hicieron,,1847329349,12846027
"Compre antes que suba el dolar y el vendedor para no perder me envio otro modelo de menor calidad, luego dijo no tener stock ofrecio por el mismo precio la peor",,1797297723,12848001
SON MALA GENTE,,1822141673,12849065
No cubre mala pintura no la recomiendo,,1829135785,12850073
Mienten cuando dicen que es compra protegida,,1776746862,12850076
"MALA ATENCION , MAL PREDISPUESTO ,, UNA LASTIMA",,1836901753,12850080
"La pintura es marca embellecer NO ES VENIER, le ponen un stiker que dice Venier. Engañan al cliente?",,1823498670,12851008
"La publicación decía que incluía los filtros de carbón pero no los traía, quedaron en contactarme y darme una respuesta y nunca lo hicieron",,1785286512,12852001
Tuvieron al chofer demorado 1hs y 15 min para darles las ruedas y encima la factura tardo 10 dias previamente con reclamos.,44646787,1852362846,12857019
Considero que no pongan e a la venta libros q no tienen en stock,,1795029166,12859014
"El producto está bien, pero nunca dijo que el jueves no abría la librería a pesar de decir que se podía retirar en la semana una vez disponible.",225707140,1832996679,12859014
"no me solucionan nada el casco es una medida de seguridad para mi vida, pague por algo defectuoso no tengo ni el dinero ni el casco bien, quiero mi dinero",,1808512377,12864007
La culpa no es de la gente de la sucursal Cabildo. Son muy correctos. Pero tuve que ir 2 veces porque no habían mandado el repuesto desde otra sede,69454611,1846418034,12864008
no twnia stock cuando wn realidad mw habia confirmando que si tenia. mala atención,,1810919270,12865005
Me enviaron un producto que no era el que solicité y no se hacían cargo para devolverme el dinero. Gracias a ML lo recuperé.,,1785501577,12865006
"PUBLICAN EL ARTICULO CONFIRMANDO QUE VA EN BETA BK 150. NO SIRVIO. EL CABLEADO NO COINCIDE. SI NO ESTAN SEGUROS, NO PUBLIQUEN LO QUE NO ES.",69454611,1790110886,12865007
todo bien,69454611,1836354375,12865007
"Me dieron dos espejos derechos. y no sólo eso, la chica me dió un espejo que había devuelto otro cliente ya que le faltaba el plástico que cubre los articulos",69454611,1814434814,12866006
Me hicieron esperar mucho y  me dieron un placard de otro color.,12626860,1849771856,12866281
No me dieron en color blanco q la compre.eecibi verdes q se les acabó el stock,12626860,1846819863,12866283
"No lo recomiendo,, fui a retirar el producto a la sucursal de Gran Bourg y no me quisieron probar la maquina.. llegué  a mi casa y no funcionaba.",12626860,1820835557,12866283
"Llamé 3 veces para acordar el envío y siempre me decían que me la enviaban en la tarde,la última vez que llamé me dijeron que no había stock. No recomiendo",97669372,1801966265,12866307
Al retirar me dieron uno que no era recargable. Al reclamar tuve que ir de vuelta desde Solymar y finalmente me dieron otro abierto que no tenia el cable.,97669372,1801406339,12866307
"Son unos sinvergüenzas, compré una computadora para un regalo y me llamaron a los días para decirme que no tenían stock que sí agregaba 100 y pico de dol me ven",97669372,1859130367,12866307
compre un producto con caracteristicas distintas al producto enviado.,97669372,1857804204,12866308
"No tenían en stock. Espere una semana después de la compra , fui 3 veces. Me dijeron 3 veces distintas que un día estaba . Mala atención. Buen producto .",97669372,1814519487,12866308
Un desastre la atencion estuve 1 hora en el local para que me dijeran que no tenian el producto. Los empleados mal educados.,97669372,1865839441,12866308
No me vendieron el producto acordado y luego pretendian que me hiciera cargo de la compra de la parrilla que faltaba. Me la quedo para no perder mas tiempo.,97669372,1799400832,12866308
Todo muy bien. Gracias,,1836811568,12866330
"no tenia stok en sucursal siendo que confirmo de que si tenia, después de esperar mas de 1 hora me tube que llevar  otro q no era el q yo compre",261507071,1843176042,12866375
No los recomiendo,,1846115044,12866384
El producto lo recibí x que contacté una persona particular para buscar el producto ya que no el vendedor ni de mercado se pusieron en contacto ¿,,1847747759,12866388
malísima la atención aca en viedma un *,,1846279124,12866389
"Dice envio gratis y no tiene envio, tube qe cancelar mi compra. Cuando hice una preg me respondieron al otro dia.. y me dejaban el visto clavado",,1815413312,12866392
"Muy mala atención, muy desorganizado el negocio. Estuve 1 hs para retirar el producto..",12626860,1847363614,12867231
Hace mucho ruido,12626860,1855019814,12867231
Compre heladera pagué y me cancelaron la compra por supuesta falta de stock y la tenian en otra publicación mas cara. Pagué la diferencia... No recomiendo,12626860,1797692325,12867231
Excelente. Cumplieron con todo. Totalmente recomendable,,1827472773,12867231
Me vendieron un termo tanque pinchado y usado como nuevo,12626860,1802212056,12867231
...,12626860,1844425295,12867231
Compre una tablet y resulto ser q estaba usada. Tenia la cuenta de gmail y Facebook cargado de otra persona,,1792515002,12867232
tenfo el producto pero después de un mes todavia no logro tener mi factura A pedida incluso antes de realizar la compra,,1846274330,12867232
"Hicieron mal la factura, dieron mil vueltas para entregar, y para rectificar la factura, tengo que ir a la casa central para que la rectifiquen.-",,1827904919,12867232
Comentario moderado por MercadoLibre,,1808782949,12867257
"INACEPTABLES. Anuncian un producto y entregan otro. No se hacen responsables, faltan a la verdad pésima actitud comercial pese a intervenir MLibre xa solución.",,1823881009,12867267
1 hs y 20 para retirar el producto,261507071,1828598522,12867346
Expelente Atencion,,1830782927,12867347
"Pésimo servicio, te avisan que tu pedido está listo para ser retirado y al momento de ir a buscarlo te dicen que te van a llamar cuando esté listo. Lamentable",,1848440163,12867351
"Pesima, me dijeron que tenian stock y cuando compro y voy a retirar un dia después ya no les quedaba. Elijo comprar otro celular y me vino fallado, no recomiend",,1844176927,12868024
"tuve que cambiar el celular 2 veces porque no funcionaba y  termine comprando otro, no recomentable",97669372,1809802317,12868024
"producto fallado, empleado sin conocimiento del mismo .",97669372,1837192063,12868024
El teléfono se me bloqueo el mismo día que lo compre y dicen que por mi culpa lo deje en el servicio técnico yo tengo que pagar el costo del desbloqueo mallllll,97669372,1794761822,12868024
El aparato estaba bien pero la atención muy mala,97669372,1807023758,12868024
Respondió rápido rápido pero no me dio una solución Me cambió por otro aparato que tenía problemas también tuve que ir 4 veces al local por el cambio vergonzoso,97669372,1825334142,12868024
"Pésima la atención luego de pagarlo lo fui a buscar, caminé muchas cuadras y no tenían en stock al otro día lo fue a buscar mi Sra. y la atendieton  mal",97669372,1827375257,12868024
"Consulté stock, dijeron que había, compré, fui y me dijeron sin buscar que no había desde agosto. Insistí, lo buscaron y quedaban.Mal trato.",97669372,1860254852,12868024
"No lo recomiendo, efectuada la compra nunca más respondió a mis consultas, entrega fuera de tiempo y forma, cargos adicionales a lo que indica el remate.",,1835651560,12869029
"Dijeron que tenían el producto en 24-48, no llego.Dijeron que el lunes llegaba (semana más tarde), no llego. Por lo menos hicieron la devolución rápida",77386555,1804878838,12870039
"Tuve una mala experiencia, me entregaron otro producto y nunca tuvieron la disposicion adecuada para solucionar el inconveniente ocasionado,",77386555,1851691879,12870039
El producto no es el que muestra la foto y eso no lo aclara en la descripción.  Muestran la Starlight IHT  Digital Ion Plus y no enviaron el  modelo Ion Plus.,,1803280989,12870039
"Primero anuncian un producto, lo cobran y después te dicen que no lo tienen. Están de vivos y te hacen perder el tiempo. Una falta de respeto.",77386555,1834342178,12870040
"El vendedor es muy malo. Lamentable, una tomada de pelo.  Te hacen elegir donde retirarlo, y te ponen la fecha de poder retirarlo y no está.  Me lo llevaron dps",,1799793966,12870040
Hice la compra pero no tenían en stock y me tuvieron 1 semana en espera hasta que decidí cancelar y pedir devolución del dinero,77386555,1802644085,12870040
"Un desastre, primero mandaron la pc con el parlante roto, la cambiaron a la semana por una sin grabadora de dvd y no me solucionaron nada. Nunca mas.",77386555,1799841061,12870040
Primero tenían stock y luego no y cancelaron mi compra y luego vi la publicación donde en una conversación quedaba el último producto en stock,,1852196721,12870040
"Un desastre la empresa nnet, publica productos y no tiene stock, además pagué contado efectivo",77386555,1804682989,12870040
